epoch,step,val_loss
0,0,0.004023815039545298
1,1,-0.003358635352924466
2,2,-0.010618902742862701
3,3,-0.018196003511548042
4,4,-0.025756506249308586
5,5,-0.03344254568219185
6,6,-0.04125310853123665
7,7,-0.0489521399140358
8,8,-0.056515101343393326
9,9,-0.06398173421621323
10,10,-0.07134868204593658
11,11,-0.07891324907541275
12,12,-0.08724885433912277
13,13,-0.09623897075653076
14,14,-0.10629197955131531
15,15,-0.11729603260755539
16,16,-0.12883785367012024
17,17,-0.1403905749320984
18,18,-0.1528005748987198
19,19,-0.16592669486999512
20,20,-0.17940641939640045
21,21,-0.19355520606040955
22,22,-0.20838207006454468
23,23,-0.22845666110515594
24,24,-0.25458794832229614
25,25,-0.288556843996048
26,26,-0.3315103352069855
27,27,-0.38678786158561707
28,28,-0.4505402147769928
29,29,-0.5239812135696411
30,30,-0.6080451607704163
31,31,-0.7026477456092834
32,32,-0.8049429059028625
33,33,-0.9039804339408875
34,34,-0.9893266558647156
