epoch,step,val_loss
0,0,0.12642522156238556
1,1,0.114069864153862
2,2,0.10211428254842758
3,3,0.09024612605571747
4,4,0.07810474932193756
5,5,0.06560657918453217
6,6,0.053358327597379684
7,7,0.04197660833597183
8,8,0.030764158815145493
9,9,0.019354594871401787
10,10,0.007566496264189482
11,11,-0.004354044795036316
12,12,-0.015673469752073288
13,13,-0.027273572981357574
14,14,-0.039600543677806854
15,15,-0.053025759756565094
16,16,-0.06735503673553467
17,17,-0.0829327404499054
18,18,-0.10014896839857101
19,19,-0.11937488615512848
20,20,-0.14054128527641296
21,21,-0.1635090708732605
22,22,-0.1883404552936554
23,23,-0.21509414911270142
24,24,-0.24417847394943237
25,25,-0.27546456456184387
26,26,-0.30938291549682617
27,27,-0.3458828628063202
28,28,-0.38540786504745483
29,29,-0.42856138944625854
30,30,-0.47515854239463806
31,31,-0.5256553292274475
32,32,-0.5779066681861877
33,33,-0.6344485878944397
34,34,-0.6951634287834167
