AVAV,open,high,low,close,volume,market_return,stock_return,residual_return,residual_price,residual_gap_pct,volume_gap_product,earnings_classification,is_earnings_date,event_strength
2024-02-26 05:00:00,122.84,124.495,122.24,122.24,174916.0,,,,100.0,,,none,False,0.0
2024-02-27 05:00:00,123.04,127.07,121.74,126.85,279493.0,0.0018577442241940467,0.037712696335078455,0.03389787543127362,103.38978754312735,3.389787543127354,947421.8897912935,none,False,0.0
2024-02-28 05:00:00,126.7,127.63,125.448,126.61,208023.0,-0.0013216814944864153,-0.001891998423334651,-0.002395265501518549,103.14214155181595,0.23952655015186952,49827.03154224235,none,False,0.0
2024-02-29 05:00:00,128.0,128.5,125.44,126.79,269809.0,0.0035949907162327044,0.0014216886501856596,-0.0042025738873569755,102.70867908104422,0.42025738873568974,113389.22579738771,none,False,0.0
2024-03-01 05:00:00,130.8,130.9959,127.725,128.73,305052.0,0.00938828530940028,0.015300891237479242,0.0036425808653750523,103.08280375017279,0.3642580865375056,111117.65781443915,none,False,0.0
2024-03-04 05:00:00,135.0,135.0,129.59,130.65,967521.0,-0.0010724383347958666,0.014914938242833964,0.01415207015112941,104.54163882022034,1.4152070151129514,1369242.506469098,none,False,0.0
2024-03-05 05:00:00,150.64,171.7,150.11,167.15,3307117.0,-0.009994144056217014,0.2793723689246077,0.28790196787789457,134.63938236174187,28.790196787789448,95212549.23024388,surprising_positive,True,21.589999999999975
2024-03-06 05:00:00,171.2,184.22,169.0691,182.25,1432374.0,0.005067234512401875,0.09033801974274591,0.08318033104374098,145.83873075811636,8.31803310437409,11914534.349844731,surprising_positive,True,15.150900000000007
2024-03-07 05:00:00,183.0,184.61,173.49,177.67,742195.0,0.0099264345267287,-0.025130315500685896,-0.03734913907771517,140.39177972011402,3.734913907771509,2772034.427778475,none,False,0.0
2024-03-08 05:00:00,176.9,177.0,161.54,166.23,837717.0,-0.006002214409199347,-0.06438903585298583,-0.06001726006144824,131.96584976616236,6.001726006144836,5027747.904689634,none,False,0.0
2024-03-11 04:00:00,165.51,165.51,159.0308,159.89,398811.0,-0.0008598452278590907,-0.03813992660771226,-0.03912422258572998,126.80278848619602,3.9124222585730006,1560317.033363757,none,False,0.0
2024-03-12 04:00:00,160.0,164.43,158.475,162.01,296105.0,0.01075731497418242,0.013259115642003882,0.00017488253260756342,126.82496407898817,0.017488253260733444,5178.3592317694765,none,False,0.0
2024-03-13 04:00:00,160.83,162.58,159.65,161.21,231079.0,-0.0015673981191220987,-0.004937966792173176,-0.005185305944898678,126.16733783878784,0.5185305944898633,119821.53124412312,none,False,0.0
