QCOM,open,high,low,close,volume,market_return,stock_return,residual_return,residual_price,residual_gap_pct,volume_gap_product,earnings_classification,is_earnings_date,event_strength
2024-02-26 05:00:00,156.0,157.48,155.79,157.03,6307616.0,,,,100.0,,,none,False,0.0
2024-02-27 05:00:00,157.75,159.2,157.49,158.3,6021410.0,0.0018577442241940467,0.008087626568171746,0.005802837294069523,100.58028372940694,0.5802837294069496,3494126.2510883003,none,False,0.0
2024-02-28 05:00:00,156.0,156.5397,154.96,155.85,5210958.0,-0.0013216814944864153,-0.01547694251421361,-0.012557456076691833,99.31725123429372,1.2557456076691786,6543637.620248568,none,False,0.0
2024-02-29 05:00:00,156.87,158.2,156.18,157.79,8321448.0,0.0035949907162327044,0.01244786653833807,0.007319447463262526,100.04419863689877,0.7319447463262518,6090840.145427096,none,False,0.0
2024-03-01 05:00:00,159.39,164.0,158.07,163.09,10405715.0,0.00938828530940028,0.03358894733506568,0.01897771437811162,101.94280886381691,1.8977714378111799,19747668.71700336,none,False,0.0
2024-03-04 05:00:00,165.12,167.83,164.72,166.56,11865142.0,-0.0010724383347958666,0.02127659574468077,0.023788105950946454,104.36783520200646,2.378810595094638,28224925.501902383,none,False,0.0
2024-03-05 05:00:00,164.73,165.59,160.23,161.45,9603135.0,-0.009994144056217014,-0.0306796349663786,-0.013564538924014526,102.95213363899369,1.3564538924014768,13026209.850006856,none,False,0.0
2024-03-06 05:00:00,164.82,169.25,164.33,167.89,12230453.0,0.005067234512401875,0.03988851037472907,0.03235023388893464,106.28265924157998,3.2350233888934543,39565801.51176211,none,False,0.0
2024-03-07 05:00:00,169.6,177.59,169.43,175.72,14495135.0,0.0099264345267287,0.046637679432962154,0.031145571390763425,109.59289339258878,3.114557139076335,45145926.19612525,surprising_positive,True,8.159999999999997
2024-03-08 05:00:00,174.82,175.47,170.54,170.57,11317959.0,-0.006002214409199347,-0.029307989984065586,-0.018727125071060294,107.54053357112639,1.8727125071060335,21195283.374213297,none,False,0.0
2024-03-11 04:00:00,169.0,171.98,168.1201,171.12,7256262.0,-0.0008598452278590907,0.0032244826171075047,0.005388007608185043,108.1199627841959,0.5388007608185141,3909679.486298473,none,False,0.0
2024-03-12 04:00:00,172.91,173.9,170.58,173.08,7642226.0,0.01075731497418242,0.011453950444132888,-0.005398192810255449,107.53631037844917,0.5398192810255442,4125420.9447547207,none,False,0.0
2024-03-13 04:00:00,171.22,171.5,168.6,169.25,8730467.0,-0.0015673981191220987,-0.022128495493413558,-0.018806805269836847,105.51389592972495,1.8806805269836802,16419219.278373629,none,False,0.0
2024-03-14 04:00:00,169.6,169.95,166.71,168.45,8149816.0,-0.0019768591197162344,-0.0047267355982275605,-0.0007348149214815528,105.43636274457215,0.07348149214814192,598860.6404128014,none,False,0.0
2024-03-15 04:00:00,167.1,168.77,165.85,167.2,16414624.0,-0.009942712884746241,-0.007420599584446408,0.00961031081554424,106.44963896180796,0.961031081554431,15774963.85602932,none,False,0.0
2024-03-18 04:00:00,170.91,171.46,166.35,166.92,6653663.0,0.005943157523095932,-0.0016746411483253842,-0.010646681229546586,105.31630358878128,1.0646681229546484,7083942.896982795,none,False,0.0
2024-03-19 04:00:00,166.09,166.46,163.63,164.1,7404369.0,0.005557072105447869,-0.016894320632638404,-0.02523439282422703,102.65871061322642,2.5234392824227125,18684475.596152976,none,False,0.0
2024-03-20 04:00:00,164.1,168.1725,163.83,167.67,5995811.0,0.009249384343914091,0.021755027422303508,0.007371155940333338,103.41542397779007,0.7371155940333329,4419605.786976592,none,False,0.0
2024-03-21 04:00:00,170.74,172.915,169.6301,170.85,8431474.0,0.0033046418690441115,0.018965825729110763,0.014312667152949704,104.89557451966533,1.4312667152949432,12067688.097074715,none,False,0.0
2024-03-22 04:00:00,169.55,171.9,169.3,170.1,5624966.0,-0.001895825354270464,-0.004389815627743654,-0.0005305359040015376,104.83992365121178,0.053053590400153894,298424.64217879204,none,False,0.0
2024-03-25 04:00:00,167.88,168.77,166.97,167.52,5682477.0,-0.0027628019416359173,-0.015167548500881756,-0.009889149226818685,103.80314600129665,0.9889149226818827,5619486.303096577,none,False,0.0
2024-03-26 04:00:00,168.05,169.42,167.0,167.07,5289949.0,-0.001846970775535417,-0.002686246418338256,0.001093065185369294,103.91660960632248,0.10930651853693352,578225.9084279329,none,False,0.0
2024-03-27 04:00:00,169.45,169.48,166.97,169.13,6284666.0,0.008403847265858522,0.012330161010355,-0.0006696844027726488,103.8470182736801,0.06696844027727078,420874.27968359424,none,False,0.0
2024-03-28 04:00:00,169.1,169.89,167.98,169.3,5323975.0,-0.00019114245847418054,0.0010051439720926147,0.002074095952529124,104.06240695396376,0.20740959525291647,1104243.499886646,none,False,0.0
2024-04-01 04:00:00,168.27,172.8,168.21,171.72,6679060.0,-0.001739728908176863,0.014294152392203108,0.017897924041545894,105.92490800920625,1.7897924041545998,11954130.854892822,none,False,0.0
2024-04-02 04:00:00,170.47,171.4,169.28,171.04,7436314.0,-0.006358204381798571,-0.00395993477754486,0.00720363598610969,106.6879524883667,0.7203635986109402,5356849.913440916,none,False,0.0
2024-04-03 04:00:00,170.0,173.96,169.33,173.91,6921555.0,0.0010986045794463273,0.016779700654817598,0.015737516921608807,108.36695594598417,1.573751692160874,10892808.89363456,none,False,0.0
2024-04-04 04:00:00,175.0,175.95,169.41,169.76,8805689.0,-0.012206156985810623,-0.023862917601058076,-0.0031270654279107364,108.02808538451755,0.3127065427910858,2753596.5640834933,none,False,0.0
2024-04-05 04:00:00,170.18,172.24,169.71,171.53,5863321.0,0.010446917574599812,0.010426484448633477,-0.005917581627506004,107.38882037119149,0.5917581627505997,3469668.0625770087,none,False,0.0
2024-04-08 04:00:00,172.93,174.39,172.355,173.62,4812025.0,0.00055938120864929,0.01218445752929509,0.012024907120491724,108.68016096193422,1.2024907120491646,5786415.368648381,none,False,0.0
2024-04-09 04:00:00,175.27,175.99,173.37,175.57,5030472.0,0.001156693399136488,0.011231424951042346,0.010094157935448876,109.77719567113398,1.0094157935448766,5077837.885785283,none,False,0.0
2024-04-10 04:00:00,172.42,173.71,170.07,170.86,6177357.0,-0.010013094046060322,-0.026826906646921334,-0.009680792118640882,108.71446546047436,0.9680792118641035,5980170.895963203,none,False,0.0
2024-04-11 04:00:00,171.67,175.625,170.5,175.13,6262569.0,0.007546876215669407,0.024991220882593757,0.013394117353278726,110.17059976885093,1.3394117353278778,8388158.4119005725,none,False,0.0
