date,open,high,low,close,volume
2024-12-09 05:00:00,175.715,178.04,175.4,177.1,19887786.0
2024-12-10 05:00:00,184.535,188.03,182.67,186.53,34317438.0
2024-12-11 05:00:00,186.7,196.89,186.26,196.71,41664489.0
2024-12-12 05:00:00,196.3,196.7053,193.28,193.63,25197757.0
2024-12-13 05:00:00,192.71,194.34,191.26,191.38,18883217.0
2024-12-16 05:00:00,194.365,200.64,194.11,198.16,32248640.0
2024-12-17 05:00:00,198.53,202.88,196.69,197.12,24099481.0
2024-12-18 05:00:00,196.83,198.6899,189.28,190.15,27638416.0
2024-12-19 05:00:00,193.28,194.6,189.52,189.7,26981196.0
2024-12-20 05:00:00,187.01,194.1354,186.37,192.96,45319703.0
2024-12-23 05:00:00,194.03,196.49,191.63,195.99,15235942.0
2024-12-24 05:00:00,196.17,197.67,195.1979,197.57,6809823.0
2024-12-26 05:00:00,196.74,198.16,195.87,197.1,7918434.0
2024-12-27 05:00:00,196.47,196.8,191.972,194.04,14692994.0
2024-12-30 05:00:00,190.865,193.78,190.36,192.69,12209534.0
2024-12-31 05:00:00,192.445,193.25,189.58,190.44,14355221.0
2025-01-02 05:00:00,191.485,193.2,188.71,190.63,17494462.0
2025-01-03 05:00:00,192.725,194.5,191.35,193.13,12874957.0
2025-01-06 05:00:00,195.15,199.56,195.06,197.96,19483323.0
2025-01-07 05:00:00,198.27,202.14,195.94,196.71,16966760.0
2025-01-08 05:00:00,193.95,197.64,193.75,195.39,14335341.0
2025-01-10 05:00:00,195.42,197.62,191.6,193.17,20753778.0
2025-01-13 05:00:00,191.35,192.49,188.66,192.29,13169060.0
2025-01-14 05:00:00,192.5,193.27,189.64,191.05,13651183.0
2025-01-15 05:00:00,194.35,197.8,193.33,196.98,12894875.0
2025-01-16 05:00:00,195.825,196.9799,194.3,194.41,13449581.0
2025-01-17 05:00:00,198.05,198.81,195.31,197.55,22109129.0
2025-01-21 05:00:00,200.51,203.84,199.44,199.63,19005232.0
2025-01-22 05:00:00,200.55,202.12,199.2,200.03,15477376.0
2025-01-23 05:00:00,199.98,201.94,196.82,199.58,15170838.0
2025-01-24 05:00:00,199.85,202.57,199.7842,201.9,12732376.0
2025-01-27 05:00:00,194.19,198.67,192.7,193.77,24970173.0
2025-01-28 05:00:00,194.65,197.23,192.61,197.07,15939161.0
2025-01-29 05:00:00,197.37,198.4595,195.19,197.18,12282999.0
2025-01-30 05:00:00,199.76,203.2384,199.4717,202.63,14571479.0
2025-01-31 05:00:00,203.715,207.08,203.58,205.6,17087335.0
2025-02-03 05:00:00,202.215,205.22,201.66,202.64,16719469.0
2025-02-04 05:00:00,204.5,208.7,204.26,207.71,28282736.0
2025-02-05 05:00:00,193.1,194.5499,189.91,193.3,43719589.0
2025-02-06 05:00:00,190.99,193.83,190.49,193.31,20816593.0
