NVO,open,high,low,close,volume,market_return,stock_return,residual_return,residual_price,residual_gap_pct,volume_gap_product,earnings_classification,is_earnings_date,event_strength
2024-02-26 05:00:00,123.2,124.165,122.79,123.49,4451787.0,,,,100.0,,,none,False,0.0
2024-02-27 05:00:00,119.97,122.56,119.79,122.23,7636985.0,0.0018577442241940467,-0.01020325532431765,-0.009779489402973598,99.02205105970265,0.9779489402973573,7468581.387816814,none,False,0.0
2024-02-28 05:00:00,121.96,122.15,120.93,121.54,3075200.0,-0.0013216814944864153,-0.005645095312116433,-0.002750986432839145,98.74964274068549,0.275098643283922,845983.3478267168,none,False,0.0
2024-02-29 05:00:00,120.11,120.28,118.91,119.77,5479768.0,0.0035949907162327044,-0.01456310679611661,-0.015489142699859078,97.22009543271491,1.5489142699859015,8487690.851412104,none,False,0.0
2024-03-01 05:00:00,122.8,124.43,122.25,124.23,5447082.0,0.00938828530940028,0.03723803957585381,0.03181074282573315,100.31273888601824,3.181074282573304,17327572.46526796,none,False,0.0
2024-03-04 05:00:00,127.33,128.77,126.99,127.95,6816949.0,-0.0010724383347958666,0.029944457860420215,0.032644910356805154,103.5874392545979,3.264491035680517,22253868.901191264,none,False,0.0
2024-03-05 05:00:00,126.25,126.83,123.97,124.65,4807804.0,-0.009994144056217014,-0.02579132473622503,-0.016158905635879815,101.91357959862042,1.615890563587985,7768885.115180569,none,False,0.0
2024-03-06 05:00:00,124.36,125.175,123.36,124.75,3895545.0,0.005067234512401875,0.0008022462896108973,-0.0012676902477770776,101.7843847476472,0.12676902477770646,493834.4406276705,none,False,0.0
2024-03-07 05:00:00,133.44,138.28,132.87,135.92,19606772.0,0.0099264345267287,0.08953907815631257,0.08369365145224027,110.30309156799748,8.369365145224016,164096234.18715417,surprising_positive,True,5.409999999999997
2024-03-08 05:00:00,133.9,134.83,131.1,133.07,12765042.0,-0.006002214409199347,-0.020968216597998746,-0.014437437908415422,108.71059753237826,1.4437437908415451,18429450.12733154,none,False,0.0
2024-03-11 04:00:00,133.37,133.52,130.75,131.24,5734460.0,-0.0008598452278590907,-0.013752160517020995,-0.011216888128962155,107.49120292142496,1.1216888128962044,6432279.630000768,none,False,0.0
2024-03-12 04:00:00,131.6,135.12,131.45,135.11,6340618.0,0.01075731497418242,0.029487960987503836,0.022996958684608115,109.9631736739678,2.299695868460816,14581493.018088281,none,False,0.0
2024-03-13 04:00:00,134.24,135.5,132.7,133.49,6847024.0,-0.0015673981191220987,-0.011990230182814088,-0.008905204959824324,108.98392907436836,0.8905204959824276,6097415.208483585,none,False,0.0
2024-03-14 04:00:00,135.85,135.92,133.87,134.58,3506857.0,-0.0019768591197162344,0.0081654056483631,0.011568572947584737,110.24471760797958,1.1568572947584732,4056933.102124815,none,False,0.0
2024-03-15 04:00:00,133.88,134.0,131.86,132.37,3780112.0,-0.009942712884746241,-0.016421459355030477,-0.006829001129227663,109.49185630694329,0.6829001129227796,2581438.9116607546,none,False,0.0
2024-03-18 04:00:00,131.57,133.7484,131.07,132.89,3898758.0,0.005943157523095932,0.003928382564024835,0.0011778733595522572,109.62082384757517,0.11778733595522173,459224.31835410837,none,False,0.0
2024-03-19 04:00:00,132.04,132.21,130.51,131.37,4393496.0,0.005557072105447869,-0.011438031454586328,-0.013888560890057276,108.09834836074987,1.388856089005741,6101933.671622368,none,False,0.0
