EH,open,high,low,close,volume,market_return,stock_return,residual_return,residual_price,residual_gap_pct,volume_gap_product,earnings_classification,is_earnings_date,event_strength
2024-02-26 05:00:00,10.46,11.08,10.39,10.88,665045.0,,,,100.0,,,none,False,0.0
2024-02-27 05:00:00,11.06,11.64,11.06,11.23,895366.0,0.0018577442241940467,0.032169117647058876,0.028343969117153124,102.83439691171532,2.83439691171532,2537822.6252548993,none,False,0.0
2024-02-28 05:00:00,11.1,11.2,10.5,10.55,580587.0,-0.0013216814944864153,-0.060552092609082786,-0.0609162566694879,96.57011039498929,6.091625666948774,3536718.671096788,none,False,0.0
2024-02-29 05:00:00,10.95,11.22,10.7775,10.79,478282.0,0.0035949907162327044,0.022748815165876568,0.017032575709293774,98.21494811154679,1.703257570929373,814637.4375392423,none,False,0.0
2024-03-01 05:00:00,10.92,11.445,10.763,11.23,460558.0,0.00938828530940028,0.040778498609824076,0.02875593078192886,101.03921036119318,2.8755930781929173,1324377.3969063736,none,False,0.0
2024-03-04 05:00:00,11.36,11.38,10.81,10.83,523591.0,-0.0010724383347958666,-0.03561887800534291,-0.03625435732238383,97.37609872518699,3.625435732238369,1898245.52047842,none,False,0.0
2024-03-05 05:00:00,10.63,10.85,10.54,10.58,416023.0,-0.009994144056217014,-0.023084025854108958,-0.014007724593332624,96.0120811522714,1.400772459333266,582753.5608492033,none,False,0.0
2024-03-06 05:00:00,10.95,11.6,10.95,11.22,608339.0,0.005067234512401875,0.060491493383743045,0.05317263340235212,101.117296345578,5.31726334023519,3234698.6631353353,none,False,0.0
2024-03-07 05:00:00,11.23,11.35,10.95,11.17,506364.0,0.0099264345267287,-0.004456327985739805,-0.017064701631492145,99.39175985365755,1.7064701631492096,864095.0576928863,none,False,0.0
2024-03-08 05:00:00,11.29,11.63,11.2,11.41,534312.0,-0.006002214409199347,0.0214861235452104,0.02621698392007691,101.99751202352904,2.6216983920076986,1400804.9112304174,none,False,0.0
2024-03-11 04:00:00,12.01,13.93,11.97,12.76,2341376.0,-0.0008598452278590907,0.11831726555652944,0.11745036663527886,113.9771572065788,11.745036663527886,27499546.963104267,none,False,0.0
2024-03-12 04:00:00,13.8,14.77,13.07,14.48,2780655.0,0.01075731497418242,0.13479623824451425,0.12128340430338425,127.80069484541465,12.128340430338413,33724730.45932266,none,False,0.0
2024-03-13 04:00:00,14.7,15.33,14.1303,14.7,1674921.0,-0.0015673981191220987,0.015193370165745845,0.015096682529389777,129.7300613625313,1.5096682529389893,2528575.0598808248,none,False,0.0
2024-03-14 04:00:00,14.51,14.72,13.55,13.61,1295067.0,-0.0019768591197162344,-0.07414965986394562,-0.07380062607470077,120.15590161326715,7.380062607470073,9557675.540868444,none,False,0.0
2024-03-15 04:00:00,14.06,16.45,13.9,15.37,3266263.0,-0.009942712884746241,0.12931667891256438,0.13833699443835004,136.77790790647663,13.833699443835012,45184500.64651888,surprising_positive,True,2.549999999999999
2024-03-18 04:00:00,17.67,19.925,15.05,15.5,7552786.0,0.005943157523095932,0.008458035133376729,0.0001856834825064036,136.80330530474666,0.018568348250647126,140242.7607106121,none,False,0.0
2024-03-19 04:00:00,15.84,18.2476,14.5,17.91,4857138.0,0.005557072105447869,0.15548387096774197,0.14763179510017732,156.99982284252403,14.763179510017732,71706800.1989285,surprising_positive,True,3.7475999999999985
2024-03-20 04:00:00,18.21,18.9,17.36,18.54,2952409.0,0.009249384343914091,0.035175879396984966,0.023304513115180864,160.6586272730387,2.330451311518078,6880445.426187777,none,False,0.0
2024-03-21 04:00:00,18.3,19.58,17.17,17.8,2440833.0,0.0033046418690441115,-0.03991370010787476,-0.04531387844532118,153.37856176559603,4.531387844532131,11060360.986732895,none,False,0.0
2024-03-22 04:00:00,17.4,19.08,16.875,18.73,1928263.0,-0.001895825354270464,0.05224719101123587,0.052508014969986756,161.432165582859,5.2508014969986805,10124926.247007167,none,False,0.0
