epoch,step,train_loss,val_loss
0,1,,-0.013107849285006523
1,3,,-0.028646474704146385
2,5,,-0.04516562819480896
3,7,,-0.06320060789585114
4,9,,-0.08360180258750916
5,11,,-0.10675428062677383
6,13,,-0.13314838707447052
7,15,,-0.1636280119419098
8,17,,-0.1989259123802185
9,19,,-0.23935101926326752
10,21,,-0.28609055280685425
11,23,,-0.34173712134361267
12,25,,-0.40924328565597534
13,27,,-0.49109458923339844
14,29,,-0.5904744863510132
15,31,,-0.7085490822792053
16,33,,-0.8422577381134033
17,35,,-0.9701647758483887
18,37,,-1.0908291339874268
19,39,,-1.1876286268234253
20,41,,-1.2595757246017456
21,43,,-1.289917230606079
22,45,,-1.2329576015472412
23,47,,-1.2324477434158325
24,49,-1.1499983072280884,
24,49,,-1.2726789712905884
25,51,,-1.2844593524932861
26,53,,-1.2767146825790405
27,55,,-1.2839730978012085
28,57,,-1.3057621717453003
29,59,,-1.3465564250946045
30,61,,-1.3934704065322876
31,63,,-1.4346847534179688
32,65,,-1.4496393203735352
33,67,,-1.4894710779190063
34,69,,-1.5413379669189453
35,71,,-1.5783600807189941
36,73,,-1.5299794673919678
37,75,,-1.4910447597503662
38,77,,-1.5014022588729858
39,79,,-1.5940319299697876
40,81,,-1.6442621946334839
41,83,,-1.6099809408187866
42,85,,-1.5789318084716797
43,87,,-1.6142455339431763
44,89,,-1.6592787504196167
45,91,,-1.6121211051940918
46,93,,-1.6146539449691772
47,95,,-1.7047227621078491
48,97,,-1.7565134763717651
49,99,-1.5636392831802368,
49,99,,-1.6528778076171875
