Ticker,Total Buy Actions,Average Reward,Positive Reward %,Best Context,Best Context Reward
AVAV,281,0.11660765069951845,89.6797153024911,6,0.13109469742019134
EH,297,0.18833645000423693,82.49158249158249,6,0.1956663289660059
NVO,244,0.04541587054319049,82.78688524590164,6,0.049088210576942654
QCOM,259,0.055421400492419864,89.1891891891892,1,0.11906281860772598
SPY,286,0.030678301127924797,92.65734265734265,4,0.030678301127924797
