epoch,step,val_loss
0,0,0.03868408501148224
1,1,0.029986362904310226
2,2,0.021071702241897583
3,3,0.011862702667713165
4,4,0.0024425347801297903
5,5,-0.00734845781698823
6,6,-0.017625097185373306
7,7,-0.02856072410941124
8,8,-0.04045221582055092
9,9,-0.05336855724453926
10,10,-0.06697771698236465
11,11,-0.08125616610050201
12,12,-0.09661717712879181
13,13,-0.11311504244804382
14,14,-0.13107621669769287
15,15,-0.15060074627399445
16,16,-0.17186373472213745
17,17,-0.19498203694820404
18,18,-0.21997302770614624
19,19,-0.2469308078289032
20,20,-0.27569055557250977
21,21,-0.30608251690864563
22,22,-0.33820047974586487
23,23,-0.3717190623283386
24,24,-0.40588873624801636
25,25,-0.44103652238845825
26,26,-0.4758264720439911
27,27,-0.5096621513366699
28,28,-0.5396552681922913
29,29,-0.565648078918457
30,30,-0.5900915861129761
31,31,-0.6145433783531189
32,32,-0.6447973251342773
33,33,-0.6837875247001648
34,34,-0.7319912314414978
